customer_id,total_views,total_add_to_cart,total_purchase,view_cart_conversion,cart_purchase_conversion
1,4,1,3,25.00,300.00
2,6,6,1,100.00,16.67
3,6,4,1,66.67,25.00
4,7,4,2,57.14,50.00
5,4,2,1,50.00,50.00
6,5,1,0,20.00,0.00
7,7,3,2,42.86,66.67
8,12,2,0,16.67,0.00
9,4,6,0,150.00,0.00
10,3,0,0,0.00,0.00
11,7,1,1,14.29,100.00
12,7,5,0,71.43,0.00
13,7,4,2,57.14,50.00
14,5,2,2,40.00,100.00
15,5,6,0,120.00,0.00
16,11,2,1,18.18,50.00
17,9,4,2,44.44,50.00
18,5,4,2,80.00,50.00
19,9,2,3,22.22,150.00
20,8,7,0,87.50,0.00
21,10,5,0,50.00,0.00
22,6,3,1,50.00,33.33
23,10,7,1,70.00,14.29
24,7,5,1,71.43,20.00
25,8,5,1,62.50,20.00
26,10,3,2,30.00,66.67
27,9,4,3,44.44,75.00
28,7,3,3,42.86,100.00
29,11,4,1,36.36,25.00
30,9,7,0,77.78,0.00
31,6,2,2,33.33,100.00
32,11,1,1,9.09,100.00
33,9,5,2,55.56,40.00
34,6,6,0,100.00,0.00
35,7,2,2,28.57,100.00
36,14,4,2,28.57,50.00
37,8,3,1,37.50,33.33
38,7,4,0,57.14,0.00
39,8,1,1,12.50,100.00
40,5,5,2,100.00,40.00
41,9,5,4,55.56,80.00
42,9,5,2,55.56,40.00
43,4,7,1,175.00,14.29
44,4,4,0,100.00,0.00
45,5,1,1,20.00,100.00
46,6,4,0,66.67,0.00
47,11,5,3,45.45,60.00
48,6,3,1,50.00,33.33
49,5,9,1,180.00,11.11
50,1,6,4,600.00,66.67
51,7,3,1,42.86,33.33
52,9,1,2,11.11,200.00
53,6,6,1,100.00,16.67
54,8,2,0,25.00,0.00
55,4,2,3,50.00,150.00
56,12,1,2,8.33,200.00
57,10,4,1,40.00,25.00
58,4,6,0,150.00,0.00
59,3,1,3,33.33,300.00
60,9,5,0,55.56,0.00
61,7,4,1,57.14,25.00
62,4,4,3,100.00,75.00
63,6,4,0,66.67,0.00
64,14,3,1,21.43,33.33
65,7,5,2,71.43,40.00
66,1,5,1,500.00,20.00
67,4,5,2,125.00,40.00
68,7,2,2,28.57,100.00
69,5,1,0,20.00,0.00
70,6,5,0,83.33,0.00
71,4,5,1,125.00,20.00
72,7,0,0,0.00,0.00
73,5,7,2,140.00,28.57
74,11,6,1,54.55,16.67
75,3,5,2,166.67,40.00
76,13,2,2,15.38,100.00
77,12,4,0,33.33,0.00
78,8,3,0,37.50,0.00
79,8,3,1,37.50,33.33
80,9,8,2,88.89,25.00
81,6,2,0,33.33,0.00
82,8,2,1,25.00,50.00
83,9,4,3,44.44,75.00
84,8,5,1,62.50,20.00
85,6,4,2,66.67,50.00
86,14,2,1,14.29,50.00
87,5,3,1,60.00,33.33
88,14,7,1,50.00,14.29
89,11,1,0,9.09,0.00
90,8,2,2,25.00,100.00
91,7,3,1,42.86,33.33
92,11,3,1,27.27,33.33
93,6,3,2,50.00,66.67
94,4,2,3,50.00,150.00
95,5,1,2,20.00,200.00
96,5,3,2,60.00,66.67
97,11,9,1,81.82,11.11
98,8,1,1,12.50,100.00
99,7,2,1,28.57,50.00
100,8,3,2,37.50,66.67
101,7,8,1,114.29,12.50
102,5,1,1,20.00,100.00
103,9,3,0,33.33,0.00
104,7,1,0,14.29,0.00
105,9,5,2,55.56,40.00
106,7,2,0,28.57,0.00
107,10,6,4,60.00,66.67
108,7,3,0,42.86,0.00
109,6,2,0,33.33,0.00
110,8,6,3,75.00,50.00
111,10,5,1,50.00,20.00
112,7,5,0,71.43,0.00
113,4,2,1,50.00,50.00
114,7,5,2,71.43,40.00
115,11,3,0,27.27,0.00
116,5,5,3,100.00,60.00
117,10,3,0,30.00,0.00
118,6,6,2,100.00,33.33
119,9,2,1,22.22,50.00
120,8,1,3,12.50,300.00
121,5,3,3,60.00,100.00
122,6,6,1,100.00,16.67
123,9,9,0,100.00,0.00
124,9,1,0,11.11,0.00
125,6,7,1,116.67,14.29
126,10,3,0,30.00,0.00
127,3,3,1,100.00,33.33
128,5,5,0,100.00,0.00
129,10,7,1,70.00,14.29
130,5,2,1,40.00,50.00
131,6,4,1,66.67,25.00
132,4,5,2,125.00,40.00
133,8,5,1,62.50,20.00
134,9,3,3,33.33,100.00
135,4,1,1,25.00,100.00
136,3,5,0,166.67,0.00
137,12,2,0,16.67,0.00
138,4,1,1,25.00,100.00
139,8,5,1,62.50,20.00
140,5,1,2,20.00,200.00
141,9,3,0,33.33,0.00
142,5,2,0,40.00,0.00
143,5,5,0,100.00,0.00
144,6,5,1,83.33,20.00
145,7,3,1,42.86,33.33
146,9,2,4,22.22,200.00
147,7,6,1,85.71,16.67
148,7,2,2,28.57,100.00
149,6,4,1,66.67,25.00
150,8,7,1,87.50,14.29
151,6,4,0,66.67,0.00
152,5,2,1,40.00,50.00
153,13,2,0,15.38,0.00
154,6,6,4,100.00,66.67
155,8,2,0,25.00,0.00
156,4,9,0,225.00,0.00
157,8,6,1,75.00,16.67
158,3,5,3,166.67,60.00
159,8,1,1,12.50,100.00
160,8,0,3,0.00,0.00
161,7,7,2,100.00,28.57
162,3,9,0,300.00,0.00
163,7,0,2,0.00,0.00
164,8,9,1,112.50,11.11
165,9,1,2,11.11,200.00
166,4,5,0,125.00,0.00
167,10,5,0,50.00,0.00
168,7,2,0,28.57,0.00
169,2,5,0,250.00,0.00
170,4,3,2,75.00,66.67
171,7,2,1,28.57,50.00
172,6,2,0,33.33,0.00
173,10,3,3,30.00,100.00
174,10,4,2,40.00,50.00
175,7,5,1,71.43,20.00
176,14,1,0,7.14,0.00
177,9,5,2,55.56,40.00
178,9,5,3,55.56,60.00
179,4,4,1,100.00,25.00
180,3,1,2,33.33,200.00
181,4,1,1,25.00,100.00
